DATE,RU3000TR
2015-03-27,6027.31
2015-03-30,6102.66
2015-03-31,6054.78
2015-04-01,6032.74
2015-04-02,6054.72
2015-04-03,.
2015-04-06,6093.72
2015-04-07,6077.58
2015-04-08,6099.96
2015-04-09,6120.85
2015-04-10,6150.70
2015-04-13,6126.13
2015-04-14,6134.25
2015-04-15,6167.00
2015-04-16,6162.28
2015-04-17,6089.60
2015-04-20,6144.72
2015-04-21,6138.29
2015-04-22,6166.49
2015-04-23,6183.94
2015-04-24,6191.61
2015-04-27,6160.49
2015-04-28,6176.70
2015-04-29,6150.69
2015-04-30,6082.17
2015-05-01,6144.14
2015-05-04,6162.81
2015-05-05,6088.10
2015-05-06,6069.14
2015-05-07,6094.58
2015-05-08,6170.82
2015-05-11,6145.39
2015-05-12,6128.78
2015-05-13,6128.30
2015-05-14,6193.45
2015-05-15,6199.14
2015-05-18,6224.48
2015-05-19,6220.13
2015-05-20,6216.55
2015-05-21,6230.14
2015-05-22,6216.53
2015-05-25,.
2015-05-26,6153.26
2015-05-27,6210.50
2015-05-28,6203.61
2015-05-29,6166.30
2015-06-01,6179.40
2015-06-02,6175.65
2015-06-03,6194.88
2015-06-04,6141.13
2015-06-05,6140.40
2015-06-08,6100.59
2015-06-09,6100.28
2015-06-10,6173.36
2015-06-11,6188.04
2015-06-12,6148.77
2015-06-15,6120.71
2015-06-16,6155.54
2015-06-17,6166.20
2015-06-18,6228.81
2015-06-19,6200.68
2015-06-22,6237.06
2015-06-23,6243.00
2015-06-24,6194.04
2015-06-25,6177.23
2015-06-26,6174.84
2015-06-29,6043.29
2015-06-30,6063.13
2015-07-01,6101.79
2015-07-02,6096.60
2015-07-03,.
2015-07-06,6075.43
2015-07-07,6109.13
2015-07-08,6008.73
2015-07-09,6023.66
2015-07-10,6098.11
2015-07-13,6164.66
2015-07-14,6194.17
2015-07-15,6183.18
2015-07-16,6229.82
2015-07-17,6230.58
2015-07-20,6231.22
2015-07-21,6203.13
2015-07-22,6193.25
2015-07-23,6156.85
2015-07-24,6090.58
2015-07-27,6050.02
2015-07-28,6123.15
2015-07-29,6168.50
2015-07-30,6172.09
2015-07-31,6164.54
2015-08-03,6145.46
2015-08-04,6133.21
2015-08-05,6153.77
2015-08-06,6102.66
2015-08-07,6084.03
2015-08-10,6162.41
2015-08-11,6105.20
2015-08-12,6109.68
2015-08-13,6102.49
2015-08-14,6128.10
2015-08-17,6166.35
2015-08-18,6147.08
2015-08-19,6094.90
2015-08-20,5960.64
2015-08-21,5785.43
2015-08-24,5557.22
2015-08-25,5488.50
2015-08-26,5688.90
2015-08-27,5826.68
2015-08-28,5838.38
2015-08-31,5792.39
2015-09-01,5624.57
2015-09-02,5725.76
2015-09-03,5733.59
2015-09-04,5652.08
2015-09-07,.
2015-09-08,5791.85
2015-09-09,5714.35
2015-09-10,5742.35
2015-09-11,5769.70
2015-09-14,5746.83
2015-09-15,5818.20
2015-09-16,5869.06
2015-09-17,5860.93
2015-09-18,5768.42
2015-09-21,5789.10
2015-09-22,5714.83
2015-09-23,5701.56
2015-09-24,5680.59
2015-09-25,5669.40
2015-09-28,5519.69
2015-09-29,5520.89
2015-09-30,5623.60
2015-10-01,5632.08
2015-10-02,5715.55
2015-10-05,5822.71
2015-10-06,5798.44
2015-10-07,5852.96
2015-10-08,5904.31
2015-10-09,5910.17
2015-10-12,5914.24
2015-10-13,5869.35
2015-10-14,5839.20
2015-10-15,5929.54
2015-10-16,5951.75
2015-10-19,5954.34
2015-10-20,5946.35
2015-10-21,5903.86
2015-10-22,5992.42
2015-10-23,6054.50
2015-10-26,6041.89
2015-10-27,6019.51
2015-10-28,6103.12
2015-10-29,6092.87
2015-10-30,6067.78
2015-11-02,6145.96
2015-11-03,6162.29
2015-11-04,6144.94
2015-11-05,6139.01
2015-11-06,6140.80
2015-11-09,6080.79
2015-11-10,6092.53
2015-11-11,6068.35
2015-11-12,5980.06
2015-11-13,5917.80
2015-11-16,6001.16
2015-11-17,5993.41
2015-11-18,6090.68
2015-11-19,6082.26
2015-11-20,6106.72
2015-11-23,6103.96
2015-11-24,6116.40
2015-11-25,6122.25
2015-11-26,.
2015-11-27,6129.50
2015-11-30,6101.42
2015-12-01,6162.61
2015-12-02,6096.90
2015-12-03,6007.20
2015-12-04,6119.97
2015-12-07,6069.66
2015-12-08,6032.24
2015-12-09,5982.97
2015-12-10,5998.19
2015-12-11,5881.47
2015-12-14,5898.24
2015-12-15,5963.51
2015-12-16,6050.82
2015-12-17,5963.02
2015-12-18,5863.28
2015-12-21,5906.76
2015-12-22,5958.88
2015-12-23,6035.10
2015-12-24,6028.14
2015-12-25,.
2015-12-28,6012.62
2015-12-29,6076.04
2015-12-30,6031.66
2015-12-31,5976.18
2016-01-01,.
2016-01-04,5883.32
2016-01-05,5893.74
2016-01-06,5815.73
2016-01-07,5674.51
2016-01-08,5609.90
2016-01-11,5608.61
2016-01-12,5647.01
2016-01-13,5500.56
2016-01-14,5588.05
2016-01-15,5470.88
2016-01-18,.
2016-01-19,5462.73
2016-01-20,5408.00
2016-01-21,5431.18
2016-01-22,5545.89
2016-01-25,5453.70
2016-01-26,5537.13
2016-01-27,5474.27
2016-01-28,5496.86
2016-01-29,5638.98
2016-02-01,5637.29
2016-02-02,5527.07
2016-02-03,5555.89
2016-02-04,5570.62
2016-02-05,5457.17
2016-02-08,5371.68
2016-02-09,5364.61
2016-02-10,5367.22
2016-02-11,5301.37
2016-02-12,5405.80
2016-02-15,.
2016-02-16,5503.52
2016-02-17,5596.91
2016-02-18,5571.08
2016-02-19,5573.89
2016-02-22,5654.25
2016-02-23,5586.89
2016-02-24,5615.20
2016-02-25,5679.95
2016-02-26,5677.79
