DATE,RU1000TR
2014-05-05,5454.65
2014-05-06,5405.94
2014-05-07,5436.18
2014-05-08,5426.94
2014-05-09,5436.25
2014-05-12,5491.50
2014-05-13,5492.92
2014-05-14,5467.18
2014-05-15,5418.19
2014-05-16,5438.15
2014-05-19,5461.01
2014-05-20,5423.64
2014-05-21,5467.43
2014-05-22,5482.64
2014-05-23,5507.13
2014-05-26,.
2014-05-27,5540.12
2014-05-28,5534.33
2014-05-29,5564.39
2014-05-30,5572.10
2014-06-02,5578.80
2014-06-03,5577.06
2014-06-04,5589.99
2014-06-05,5627.76
2014-06-06,5654.65
2014-06-09,5660.23
2014-06-10,5657.62
2014-06-11,5639.04
2014-06-12,5601.11
2014-06-13,5619.02
2014-06-16,5623.53
2014-06-17,5638.52
2014-06-18,5680.51
2014-06-19,5688.74
2014-06-20,5699.16
2014-06-23,5698.61
2014-06-24,5661.05
2014-06-25,5689.43
2014-06-26,5683.89
2014-06-27,5696.98
2014-06-30,5698.84
2014-07-01,5738.45
2014-07-02,5738.46
2014-07-03,5768.93
2014-07-04,.
2014-07-07,5741.63
2014-07-08,5699.60
2014-07-09,5726.19
2014-07-10,5702.77
2014-07-11,5710.32
2014-07-14,5737.69
2014-07-15,5724.39
2014-07-16,5746.43
2014-07-17,5679.72
2014-07-18,5739.71
2014-07-21,5726.58
2014-07-22,5755.77
2014-07-23,5766.34
2014-07-24,5769.63
2014-07-25,5741.43
2014-07-28,5741.05
2014-07-29,5716.24
2014-07-30,5719.90
2014-07-31,5606.68
2014-08-01,5591.52
2014-08-04,5630.98
2014-08-05,5579.73
2014-08-06,5579.72
2014-08-07,5551.43
2014-08-08,5613.96
2014-08-11,5632.67
2014-08-12,5622.12
2014-08-13,5662.75
2014-08-14,5688.23
2014-08-15,5689.30
2014-08-18,5739.84
2014-08-19,5768.64
2014-08-20,5783.40
2014-08-21,5798.89
2014-08-22,5790.21
2014-08-25,5817.39
2014-08-26,5824.98
2014-08-27,5826.04
2014-08-28,5816.95
2014-08-29,5838.35
2014-09-01,.
2014-09-02,5838.87
2014-09-03,5833.73
2014-09-04,5823.36
2014-09-05,5852.50
2014-09-08,5837.91
2014-09-09,5798.65
2014-09-10,5819.87
2014-09-11,5827.85
