DATE,BAMLC0A0CM
2015-06-04,1.39
2015-06-05,1.38
2015-06-08,1.38
2015-06-09,1.39
2015-06-10,1.40
2015-06-11,1.40
2015-06-12,1.40
2015-06-15,1.42
2015-06-16,1.43
2015-06-17,1.43
2015-06-18,1.44
2015-06-19,1.44
2015-06-22,1.43
2015-06-23,1.43
2015-06-24,1.44
2015-06-25,1.44
2015-06-26,1.43
2015-06-29,1.46
2015-06-30,1.48
2015-07-01,1.46
2015-07-02,1.46
2015-07-03,1.46
2015-07-06,1.47
2015-07-07,1.49
2015-07-08,1.50
2015-07-09,1.50
2015-07-10,1.49
2015-07-13,1.48
2015-07-14,1.49
2015-07-15,1.50
2015-07-16,1.50
2015-07-17,1.50
2015-07-20,1.50
2015-07-21,1.51
2015-07-22,1.52
2015-07-23,1.53
2015-07-24,1.54
2015-07-27,1.55
2015-07-28,1.56
2015-07-29,1.56
2015-07-30,1.56
2015-07-31,1.58
2015-08-03,1.58
2015-08-04,1.58
2015-08-05,1.58
2015-08-06,1.59
2015-08-07,1.60
2015-08-10,1.61
2015-08-11,1.62
2015-08-12,1.64
2015-08-13,1.64
2015-08-14,1.64
2015-08-17,1.64
2015-08-18,1.64
2015-08-19,1.66
2015-08-20,1.67
2015-08-21,1.69
2015-08-24,1.72
2015-08-25,1.72
2015-08-26,1.72
2015-08-27,1.70
2015-08-28,1.69
2015-08-31,1.69
2015-09-01,1.70
2015-09-02,1.69
2015-09-03,1.68
2015-09-04,1.68
2015-09-07,1.68
2015-09-08,1.67
2015-09-09,1.67
2015-09-10,1.67
2015-09-11,1.67
2015-09-14,1.67
2015-09-15,1.66
2015-09-16,1.66
2015-09-17,1.66
2015-09-18,1.66
2015-09-21,1.66
2015-09-22,1.67
2015-09-23,1.68
2015-09-24,1.70
2015-09-25,1.70
2015-09-28,1.74
2015-09-29,1.77
2015-09-30,1.78
2015-10-01,1.79
2015-10-02,1.80
2015-10-05,1.78
2015-10-06,1.77
2015-10-07,1.75
2015-10-08,1.74
2015-10-09,1.73
2015-10-12,1.73
2015-10-13,1.73
2015-10-14,1.74
2015-10-15,1.73
2015-10-16,1.72
2015-10-19,1.72
2015-10-20,1.71
2015-10-21,1.70
2015-10-22,1.69
2015-10-23,1.67
2015-10-26,1.66
2015-10-27,1.67
2015-10-28,1.66
2015-10-29,1.65
2015-10-30,1.65
2015-10-31,1.66
2015-11-02,1.65
2015-11-03,1.64
2015-11-04,1.63
2015-11-05,1.62
2015-11-06,1.61
2015-11-09,1.61
2015-11-10,1.61
2015-11-11,1.61
2015-11-12,1.62
2015-11-13,1.63
2015-11-16,1.63
2015-11-17,1.62
2015-11-18,1.63
2015-11-19,1.62
2015-11-20,1.62
2015-11-23,1.62
2015-11-24,1.63
2015-11-25,1.63
2015-11-26,1.63
2015-11-27,1.63
2015-11-30,1.62
2015-12-01,1.62
2015-12-02,1.63
2015-12-03,1.62
2015-12-04,1.62
2015-12-07,1.63
2015-12-08,1.65
2015-12-09,1.66
2015-12-10,1.67
2015-12-11,1.71
2015-12-14,1.74
2015-12-15,1.74
2015-12-16,1.73
2015-12-17,1.73
2015-12-18,1.74
2015-12-21,1.75
2015-12-22,1.74
2015-12-23,1.74
2015-12-24,1.74
2015-12-25,.
2015-12-28,1.74
2015-12-29,1.73
2015-12-30,1.72
2015-12-31,1.73
2016-01-01,.
2016-01-04,1.73
2016-01-05,1.73
2016-01-06,1.74
2016-01-07,1.75
