DATE,RU3000TR
20080318,3245.56
20080319,3166.24
20080320,3240.21
20080321,.
20080324,3296.06
20080325,3308.08
20080326,3281.18
20080327,3243.52
20080328,3216.41
20080331,3235.49
20080401,3349.09
20080402,3346.33
20080403,3352.5
20080404,3356.5
20080407,3361.4
20080408,3348
20080409,3316.12
20080410,3335.09
20080411,3266.19
20080414,3255.84
20080415,3271.59
20080416,3349.47
20080417,3347.98
20080418,3407.29
20080421,3401.85
20080422,3368.44
20080423,3378.58
20080424,3401.87
20080425,3425.75
20080428,3424.75
20080429,3409.05
20080430,3397.3
20080501,3454.74
20080502,3463.51
20080505,3450.86
20080506,3477.68
20080507,3418.42
20080508,3432.63
20080509,3414.73
20080512,3453.87
20080513,3457.3
20080514,3470.03
20080515,3507.95
20080516,3512.96
20080519,3513.2
20080520,3484.42
20080521,3429.59
20080522,3440.73
20080523,3397.04
20080526,.
20080527,3421.56
20080528,3438.26
20080529,3457.92
20080530,3466.89
20080602,3432.76
20080603,3415.48
20080604,3417.58
20080605,3487.4
20080606,3383.33
20080609,3382.96
20080610,3372.27
20080611,3315.45
20080612,3325.06
20080613,3376.48
20080616,3382.5
20080617,3362.44
20080618,3330.62
20080619,3344.81
20080620,3284.09
20080623,3280.95
20080624,3264.27
20080625,3285.78
20080626,3192.42
20080627,3181.61
20080630,3180.8
20080701,3191.32
20080702,3126.4
20080703,3121.85
20080704,.
20080707,3094.03
20080708,3152.55
20080709,3083.16
20080710,3105.49
20080711,3077.92
20080714,3049.65
20080715,3018.23
20080716,3095.87
20080717,3131.58
20080718,3130.45
20080721,3135.12
20080722,3178.27
20080723,3188.67
20080724,3112.11
20080725,3128.83
20080728,3073.07
20080729,3144.83
20080730,3194.55
20080731,3155.43
20080801,3140.29
20080804,3104.29
20080805,3188.5
20080806,3204.12
20080807,3148.86
20080808,3222.14
20080811,3249.27
20080812,3212.69
20080813,3209.37
20080814,3228.99
20080815,3239.16
20080818,3191.39
20080819,3160.63
20080820,3179.43
20080821,3184.52
20080822,3221.08
20080825,3157.55
20080826,3169.51
20080827,3197.79
20080828,3246.17
20080829,3204.44
20080901,.
20080902,3188.17
20080903,3180.87
20080904,3087.14
20080905,3100.18
20080908,3157.86
20080909,3046.79
20080910,3070.32
20080911,3108.16
20080912,3119.49
20080915,2973.81
20080916,3028.36
20080917,2886.53
20080918,3018.39
20080919,3143.68
20080922,3019.31
20080923,2973.26
20080924,2961.94
20080925,3014.58
20080926,3019.42
20080929,2762.03
20080930,2903.15
20081001,2886.11
20081002,2760.23
20081003,2716.66
20081006,2608.62
20081007,2458.46
20081008,2430.23
20081009,2245.19
20081010,2228.73
20081013,2484.48
20081014,2461.33
20081015,2236.52
20081016,2334.32
20081017,2321.42
20081020,2429.64
20081021,2355.84
20081022,2213.32
20081023,2225.96
20081024,2149.79
20081027,2076.74
20081028,2289.43
20081029,2278.45
20081030,2345.21
20081031,2388.25
20081103,2383.07
20081104,2473.01
20081105,2342.88
20081106,2227.76
20081107,2290.62
20081110,2257.08
20081111,2206.22
20081112,2089.92
20081113,2238.57
20081114,2139.08
20081117,2087.88
20081118,2103.88
20081119,1970.25
20081120,1835.84
20081121,1949.04
20081124,2078.99
20081125,2096.23
20081126,2178.11
20081127,.
20081128,2199.72
20081201,1995.69
20081202,2078.72
20081203,2133.78
20081204,2069.63
20081205,2148.4
20081208,2233.16
20081209,2180.6
20081210,2211.83
20081211,2142.73
20081212,2166.73
20081215,2134.26
20081216,2247.4
20081217,2233.49
20081218,2187.28
20081219,2196.81
20081222,2154.77
20081223,2134.8
20081224,2146.9
20081225,.
20081226,2161.43
20081229,2148.89
20081230,2204.65
20081231,2241.8
20090101,.
20090102,2309.58
20090105,2301.78
20090106,2324.8
20090107,2255.21
20090108,2266.13
20090109,2214.53
20090112,2161.57
20090113,2168.71
20090114,2093.24
20090115,2102.07
20090116,2119.71
20090119,.
20090120,2003.06
20090121,2091.75
20090122,2055.65
20090123,2067.66
20090126,2079.75
20090127,2102.64
20090128,2174.92
20090129,2101.38
20090130,2053.67
20090202,2055.32
20090203,2085.26
20090204,2072.42
20090205,2106.53
20090206,2166.92
20090209,2168.56
20090210,2064.29
20090211,2079.75
20090212,2085.64
20090213,2066.53
20090216,.
20090217,1973.17
20090218,1968.2
20090219,1944.57
20090220,1923.42
20090223,1855.04
20090224,1930.92
20090225,1908.39
20090226,1877.75
20090227,1838.54
20090302,1749.34
20090303,1737.16
20090304,1780.69
20090305,1702.83
20090306,1705.41
20090309,1687.24
20090310,1795.95
20090311,1800.59
20090312,1877.55
20090313,1891.59
20090316,1881.04
20090317,1943.29
20090318,1986.75
20090319,1963.36
20090320,1921.73
20090323,2059.17
20090324,2014.24
20090325,2036.14
20090326,2089.58
20090327,2043.54
20090330,1972.89
20090331,1999.58
20090401,2032.46
20090402,2096.38
20090403,2119.35
20090406,2099.58
20090407,2047.11
20090408,2074.12
20090409,2158.43
20090410,.
20090413,2163.14
20090414,2117.42
20090415,2144.48
20090416,2182.08
20090417,2195.06
20090420,2096.53
20090421,2145.74
20090422,2132.96
20090423,2148.66
20090424,2188.35
20090427,2163.85
20090428,2160.23
20090429,2211.98
20090430,2210
20090501,2220.32
20090504,2298.75
20090505,2289.3
20090506,2325.1
20090507,2289.7
20090508,2349
20090511,2300.23
20090512,2293.85
20090513,2226.29
20090514,2252.07
20090515,2227.51
20090518,2298.96
20090519,2296.48
20090520,2285.2
20090521,2247.02
20090522,2242.8
20090525,.
20090526,2306.51
20090527,2263.56
20090528,2295.55
20090529,2327.94
20090601,2393.05
20090602,2399.42
20090603,2366.15
20090604,2395.3
20090605,2389.83
20090608,2384.39
20090609,2395.53
20090610,2387.09
20090611,2401.84
20090612,2403.65
20090615,2345.22
20090616,2313.82
20090617,2311.57
20090618,2329.56
20090619,2337.86
20090622,2264.06
20090623,2266.99
20090624,2284.26
20090625,2334.8
20090626,2335.33
20090629,2353.62
20090630,2335.85
20090701,2349.35
20090702,2279.27
20090703,.
20090706,2280.96
20090707,2235.43
20090708,2230.8
20090709,2239.01
20090710,2231.6
20090713,2286.44
20090714,2299.8
20090715,2369.62
20090716,2392.27
20090717,2390.21
20090720,2419.78
20090721,2427.2
20090722,2428.26
20090723,2487.15
20090724,2496.34
20090727,2504.04
20090728,2498.15
20090729,2485.36
20090730,2516.54
20090731,2517.67
20090803,2558.61
20090804,2568.29
20090805,2561.06
20090806,2544.39
20090807,2582.85
20090810,2574.45
20090811,2541.53
20090812,2572.74
20090813,2591
20090814,2565.62
20090817,2501.65
20090818,2529.23
20090819,2547.25
20090820,2575.19
20090821,2623.81
20090824,2621.1
20090825,2628.06
20090826,2628.75
20090827,2635.86
20090828,2631.34
20090831,2607.63
20090901,2549.84
20090902,2541.75
20090903,2565.68
20090904,2599.91
20090907,.
20090908,2625.37
20090909,2649.14
20090910,2678.13
20090911,2675.75
20090914,2694.67
20090915,2706.55
20090916,2749.85
20090917,2740.74
20090918,2747.47
20090921,2738.84
20090922,2757.7
20090923,2728.17
20090924,2698.15
20090925,2682.28
20090928,2732.44
20090929,2727.43
20090930,2716.88
20091001,2643.66
20091002,2630.2
20091005,2671.89
20091006,2709.46
20091007,2717.26
20091008,2740.02
20091009,2756.97
20091012,2767.53
20091013,2759.47
20091014,2808.65
20091015,2818.75
20091016,2794.66
20091019,2821.57
20091020,2801.4
20091021,2775.44
20091022,2805.6
20091023,2769.07
20091026,2736.04
20091027,2723.07
20091028,2662.98
20091029,2723.9
20091030,2647
20091102,2662.09
20091103,2674.02
20091104,2673.76
20091105,2729.2
20091106,2734.7
20091109,2796.24
20091110,2794.93
20091111,2810.44
20091112,2778.13
20091113,2795.87
20091116,2840.44
20091117,2842.79
20091118,2840.04
20091119,2798.27
20091120,2789.34
20091123,2826.76
20091124,2824.33
20091125,2837.37
20091126,.
20091127,2786.89
20091130,2797.41
